Primary Key,Order No_x,Segment Number_x,Order Date,Manufacturer,Model,Product Category,Model Year,Serial Number,Meter 1 Reading,Complaint,Cause,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component,Order No_y,Segment Number_y,Coverage,Qty,Part Manufacturer,Part Number,Part Description,Revenue,Cost,Invoice Date,Actual Hours,Segment Total $
SO0005588-1,SO0005588,1,4/30/2022,PASEIH,6780,APPL,,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. The unit was found to be extremely low on antifreeze, I added 6 gallons to reach the correct level. Check the engine oil to see if antifreeze is leaking. Found t","No Heat - Cab, Not Achieving - Gauge",No Component Mentioned - Added,SO0005588,1,mike 102-305-1811,37,PASE,042094R9-Q     PASE,NO.1-15W40 CJ4QT,127.2799,96.1999,5/17/2022,6.3798,1048.3596
SO0005907-1,SO0005907,1,4/30/2022,PASEIH,6780,APPL,,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. The unit was found to be extremely low on antifreeze, I added 6 gallons to reach the correct level. Check the engine oil to see if antifreeze is leaking. Found t","No Heat - Cab, Not Achieving - Gauge",No Component Mentioned - Added,SO0005907,1,mike 102-305-1811,1,PASE,25505353     PASE,FLUID,30,22.68,5/17/2022,6.3798,1048.3596
SO0006100-1,SO0006100,1,4/30/2022,PASEIH,6780,APPL,,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. The unit was found to be extremely low on antifreeze, I added 6 gallons to reach the correct level. Check the engine oil to see if antifreeze is leaking. Found t",Not Charging - Alternator,No Component Mentioned - No Component Mentioned,SO0006100,1,mike 102-305-1811,3,PASE,25500540     PASE,ACTIFUL OT PREMIX,126,78.3,5/17/2022,6.3798,1048.3596
SO0006642-1,SO0006642,1,4/30/2022,PASEIH,6780,APPL,,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. The unit was found to be extremely low on antifreeze, I added 6 gallons to reach the correct level. Check the engine oil to see if antifreeze is leaking. Found t",Faulty - Fan,"Tensioner - Removed, Crankshaft Pulley - Cleaned",SO0006642,1,mike 102-305-1811,1,PASE,30171372     PASE,FILTER  ENGINE OIL,157.5,99.79,5/17/2022,6.3798,1048.3596
SO0018457-1,SO0018457,1,4/30/2022,PASEIH,6780,APPL,,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. The unit was found to be extremely low on antifreeze, I added 6 gallons to reach the correct level. Check the engine oil to see if antifreeze is leaking. Found t",Oil Loss - Not Mentioned,No Component Mentioned - No Component Mentioned,SO0018457,1,mike 102-305-1811,1,PASE,MCC54101     PASE,LOCTITE,7.5499,5.5099,5/17/2022,6.3798,1048.3596
SO0018457-2,SO0018457,2,5/9/2022,PASEIH,6780,APPL,,YFT042399,2579.1999,Alternator not charging.,Unknown,"Cleaned the connections to the alternator. Check whether the chassis is well grounded. Checked the voltage on the excitation cable. Bypassing the stock wiring with a set of jumper cables and energizing the alternator manually, it still wouldn't charge","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated",SO0018457,2,Mark 102-970-7135,-1,PASE,30020510C     PASE,REMAN-ALTERNATOR - CORE,-40,-40,5/12/2022,3.68,1034.17
SO0018457-2,SO0018457,2,5/9/2022,PASEIH,6780,APPL,,YFT042399,2579.1999,Alternator not charging.,Unknown,"Cleaned the connections to the alternator. Check whether the chassis is well grounded. Checked the voltage on the excitation cable. Bypassing the stock wiring with a set of jumper cables and energizing the alternator manually, it still wouldn't charge","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated",SO0018457,2,Mark 102-970-7135,-1,PASE,30989845     PASE,REMAN-ALTERNATOR - CORE,-40,-40,5/12/2022,3.68,1034.17
SO0018596-10,SO0018596,10,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Not Mentioned - No Component Mentioned,"Bolt - Replaced, Thread - Cleaned, No Component Mentioned - Installed, No Component Mentioned - Retightened",SO0018596,10,Not Specified,6,PASE,30527348     PASE,ACTIFUL OT PREMIX,264,168.8199,7/22/2022,60.0696,47856.9793
SO0018596-11,SO0018596,11,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Missed - No Component Mentioned, Missed - No Component Mentioned",No Component Mentioned - Installed,SO0018596,11,Not Specified,1,PASE,32977377     PASE,BELT,79.75,47.56,7/22/2022,60.0696,47856.9793
SO0018596-12,SO0018596,12,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Leak - Coupler,"Coupler - Replaced, Machine - Tested",SO0018596,12,Not Specified,1,PASE,30020510R     PASE,FILTER  ELEMENT,192,120.2,7/22/2022,60.0696,47856.9793
SO0018596-13,SO0018596,13,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Missed - Boom,"Bracket - Installed, Bolt - Installed",SO0018596,13,Not Specified,1,PASE,14041035     PASE,HOSE,275,170.31,7/22/2022,60.0696,47856.9793
SO0018596-3,SO0018596,3,5/9/2022,PASEIH,6780,APPL,,YFT042399,2579.1999,Alternator not charging.,Unknown,"Cleaned the connections to the alternator. Check whether the chassis is well grounded. Checked the voltage on the excitation cable. Bypassing the stock wiring with a set of jumper cables and energizing the alternator manually, it still wouldn't charge",Error Code - Nozzle,No Component Mentioned - No Component Mentioned,SO0018596,3,Mark 102-970-7135,1,PASE,888711R7-Q     PASE,REMAN-ALTERNATOR,550,345.8299,5/12/2022,3.68,1034.17
SO0018596-4,SO0018596,4,5/12/2022,PASEIH,6780,APPL,,YFT042373,2409.5,Having fan belt issues,Unknown,"The customer had problems with the device eating the fan belts. Jordan isolated it to the fan belt tensioner. I removed the fan belt and then removed the tensioner. The crankshaft pulley was full of crap and sharp edges, so I ran the unit and used a wire brush to clean the G",Not Opening - Door,Gas Strut - Installed,SO0018596,4,mike 780-305-1900,1,PASE,8392418     PASE,TENSIONER  BELT,219,153.3,5/23/2022,2.22,601.7699
SO0018596-5,SO0018596,5,5/12/2022,PASEIH,6780,APPL,,YFT042373,2409.5,Having fan belt issues,Unknown,"The customer had problems with the device eating the fan belts. Jordan isolated it to the fan belt tensioner. I removed the fan belt and then removed the tensioner. The crankshaft pulley was full of crap and sharp edges, so I ran the unit and used a wire brush to clean the G","Loose - Clip, Loose - Duct, Not Locked - Bulkhead","P Clip - Retightened, Nut - Retightened, Bolt - Retightened",SO0018596,5,mike 780-305-1900,1,PASE,32977372     PASE,BULK HYTRAN/SHOP,4,2.54,5/23/2022,2.22,601.7699
SO0018596-6,SO0018596,6,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Crushed - Compressor,Compressor Line - Replaced,SO0018596,6,Not Specified,1,PASE,MOB499479     PICK,O-RING,1.7,0.94,7/22/2022,60.0696,47856.9793
SO0020073-1,SO0020073,1,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Oil Leak - Machine,"Fitting - Retightened, O Ring - Replaced, Hose - Reinstalled, Hydraulic Reservoir - Topped Off",SO0020073,1,Not Specified,1,PASE,32114949     PASE,HOSE,120,93.75,7/22/2022,60.0696,47856.9793
SO0020073-2,SO0020073,2,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Not Used - Mirror, Not Mentioned - Valve, Not Mentioned - NCV, Not Mentioned - Nozzle, Not Mentioned - Cap","Flush Valve - Installed, Beacon - Installed, Side Panel - Installed, Step - Installed, Camera - Installed, Monitor - Setting Up",SO0020073,2,Not Specified,2,PICK,5440492     PICK,MOBIL DELVAC SYN AFT,122.56,81.7,7/22/2022,60.0696,47856.9793
SO0020073-6,SO0020073,6,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Oil Leak - Gear Pump, Oil Leak - Port, Water Leak - Air Line, Rubbed - Shield, Damaged - Hydraulic System","Fitting - Retightened, O Ring - Replaced",SO0020073,6,Not Specified,1,PASE,34475IN     PICK,LATCH,78,44.73,7/22/2022,60.0696,47856.9793
SO0020073-7,SO0020073,7,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Hit - Tank, Hit - Rail, Not Cradling - Boom","Nozzle - Switched, Boom Saddle - Tested",SO0020073,7,Not Specified,1,PICK,JB94A     PICK,TENSIONER,339.12,240.12,7/22/2022,60.0696,47856.9793
SO0020529-2,SO0020529,2,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Oil Leak - Gear Pump, Oil Leak - Port, Water Leak - Air Line, Rubbed - Shield, Damaged - Hydraulic System","Fitting - Retightened, O Ring - Replaced",SO0020529,2,Not Specified,90,PICK,1344341412ER     PASE,3/8 FUEL HOSE,26.1,11.27,7/22/2022,60.0696,47856.9793
SO0022590-3,SO0022590,3,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Leak - Hose,O Ring - Installed,SO0022590,3,Not Specified,1,PICK,1344341412EPAC     PASE,BRAKE CLEANER,13.99,9.79,7/22/2022,60.0696,47856.9793
SO0023561-1,SO0023561,1,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Oil Leak - Machine,"Quick Connect Software - Reassembled, O Ring - Matched, Hydraulic Reservoir - Topped Off",SO0023561,1,Not Specified,1,PASE,32924281     PASE,REMAN ENGINE,41540,28636.33,7/22/2022,60.0696,47856.9793
SO0023561-3,SO0023561,3,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Oil Leak - No Component Mentioned, Damaged - O Ring, Protruded - O Ring",No Component Mentioned - No Component Mentioned,SO0023561,3,Not Specified,-1,PASE,47188591     PASE,REMAN ENGINE,-3000,-3000,7/22/2022,60.0696,47856.9793
SO0023561-4,SO0023561,4,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Broken - Harness,NCV Harness - Replaced,SO0023561,4,Not Specified,4,PASE,493035A4     PASE,CLAMP,69,34.8,7/22/2022,60.0696,47856.9793
SO0024239-1,SO0024239,1,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Leak - Tank,"Old Tube - Freed, Connector - Cleaned",SO0024239,1,Not Specified,1,PASE,25504750     PASE,BOLT  FLANGE,8.0999,2.6099,7/22/2022,60.0696,47856.9793
SO0024239-2,SO0024239,2,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED","Not Mentioned - Light, Incorrect - No Component Mentioned, Not Settling - No Component Mentioned, Not Settling - Boom, Low - Boom, Hard To Set - Boom, Leak - Boom","Boom Light - Realigned, Left Boom Connector - Retightened",SO0024239,2,Not Specified,3,PASE,40013734     PASE,O-RING,9.3,5.5499,7/22/2022,60.0696,47856.9793
SO0024239-4,SO0024239,4,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Not Installed - Nozzle,No Component Mentioned - No Component Mentioned,SO0024239,4,Not Specified,1,PASE,924845     PASE,PAG OIL SINGLE,44.5,19.8,7/22/2022,60.0696,47856.9793
SO0024736-7,SO0024736,7,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Oil Leak - Steering,No Component Mentioned - No Component Mentioned,SO0024736,7,Not Specified,1,PASE,2573910     PASE,O-RING,3.95,1.62,7/22/2022,60.0696,47856.9793
SO0024736-8,SO0024736,8,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Open - Fuel System,No Component Mentioned - No Component Mentioned,SO0024736,8,Not Specified,2,PASE,2394197     PASE,O-RING,5.4,2.3999,7/22/2022,60.0696,47856.9793
SO0024736-9,SO0024736,9,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Oil Leak - Tire,O Ring - Replaced,SO0024736,9,Not Specified,25,PASE,140541234     PASE,NO.1-15W40 CJ4QT,97,65,7/22/2022,60.0696,47856.9793
SO0024816-1,SO0024816,1,5/25/2022,PASEIH,6780,APPL,,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started by pulling off the hood, separating the air filter housing brackets and all the accessories attached to it. HOUSING REMOVED AND ENGINE OIL, COOLANT AND HYDRAULIC FLUID Drained. RECOVERED REFRIGERANT. ALL CONNECTED PIPES AND HOSES REMOVED",Leak - Cooler,"O Ring - Installed, Fitting - Retightened",SO0024816,1,Not Specified,1,PASE,1435234     PASE,GASKET,9.8,5.99,7/22/2022,60.0696,47856.9793
