VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,CORRECTION_VERBATIM_CLEANED,REPAIR_ACTION_TAGS,COMPONENT_TAGS
3HCFDDE89SH220903,13021,REPLACED STEERING WHEEL NOW OKAY,STEERING WHEEL COMING APART,1/2/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CCF,SIL,MX,SILVERSTONE MOTORS,ST JOHNS,13-13992/309484,APEX AUTO SALES,ST JOHNS,MI,1,UNKNOWN,6,8872,0,0-0310,T03.0354,US,13,FE9,FTB,130,FREG,370.03,370.03,61.46,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",UNKNOWN,V2210281MFTX0488,UNKNOWN,S2210121CNJX0941,2808908219,6,1,N,CF10543,UNKNOWN,21,0,1,replaced steering wheel now okay,replace,steering_wheel
1HRFFEE8XSZ230636,13028,"CHECKED - FOUND DTC'S U0229 - U1530 SET IN BCM. FOUND PIP5883J, VERIFI ED RPO OPTIONS. TESTED PER SI - WAS INCONCLUSIVE.TESTEDPERWIRING SC HEMATIC - ALL CIRCUITS TESTED OK. LOOKS LIKE FAULTY HEATED S-W MODULE. ORDERED NEW MODULE 9-26-23.1-2, REPLACEDHEATED S-W MODULE.",CUSTOMER STATES HEATED STEERING WHEEL INOP,1/3/2024,MODULE ASM-STRG WHL HT CONT,HEATED STEERING WHEEL MODULE REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CGF,FTW,US,ELITE AUTO GROUP,FISHERS,13-14819/243038,SILVERPEAK MOTORS,GRAND RAPIDS,MN,1,UNKNOWN,5,16346,0,0-0310,T03.0354,US,48,FE9,FTB,2400,FREG,307.32,307.32,291.14,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",UNKNOWN,V2210291MFTX0188,UNKNOWN,R2210881CNJX0287,2808841910,6,1,Y,TF10543,UNKNOWN,10,0,1,checked found dtc s u u set in bcm found pip j verifi ed rpo options tested per si was inconclusive testedperwiring sc hematic all circuits tested ok looks like faulty heated s w module ordered new module replacedheated s w module,"replace, inspect",None
1HYKSMRK6SZ000990,13035,"APPROVED 4.9(OLH) FOR ADDED DIAGNOSTICS WITH TCSC TO FIGURE OUT AND CO MPLETE PROGRAMMING WHILE REPLACING THE STEERING WHEELASSEMBLY. ROB W. 1-2-24 3-31PM OLH FOR OPEN TAC CASE, CONTACT TCSC CASE # 9-1156925877 4 MULTIPLE TIMES AND COMPLETED DRIVE MOTORSOFTWARE UPDATE PROGRAMMING . PERFORMED SYSTEM CHECK AS PER CUSTOMERS CONCERN, STEERING WHEEL COMI NG APART. CONTACTED TAC CASE#9-11503916151 "" PLEASE BE AWARE IF A DEA LER RECEIVES A REPLACEMENT SUPER CRUISE STEERING WHEEL PART NUMBER 850 13816. ONCEINSTALLED THEY WILL NEED TO CONTACT TCSC AND REQUEST THIS BELOW. APPLIES TO 2023 AND 2024. ORDER AND REPLACED STEERING WHEEL, CONTACTED TCSC MANY TIMES AND ALSO GET ASSISTANCE FROM FSE BILL M. TO CO MPLETED PROGRAMMING. PER TCSC PROGRAMMED DRIVE MOTOR CONTROLMODULE 1 WCC-FDYZ196959052 PROG, SET UP WCC-0SYY196956992. AFTER PROGRAMMING CO MPLETED PERFORMED A DRIVE CYCLE AND CHECK STEERINGWHEEL OPERATION, OP ERATING NORMALLY AT THIS TIME. MILEAGE IN 5522, MILEAGE OUT 5532. CHAR GE VEHICLE SOON!!!",OWNER REPORTS: THE SUPER CRUISE BAR ON THE STEERING WHEEL IS COMING OF F. CHECK AND ADVISE. ADVISOR RUNNING PRA TOOL.,1/4/2024,WHEEL ASM-STRG *BACKEN BLACKK,STEERING WHEEL REPLACEMENT,BEV,4 DOOR UTILITY,L233-LSOP,SHT,US,CROSSROADS DEALERSHIP,SAN DIEGO,11-46466/119152,QUANTUM CAR TRADERS,SAN DIEGO,CA,1,UNKNOWN,9,8887,0,0-0310,T00.0006,US,12,YF5,FF6,130,FREG,2457.45,3205.45,1012.67,EN0,EN0,MF1,MF1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2809979441,4,1,Y,6MB26,LUX-1,10,0,1,approved olh for added diagnostics with tcsc to figure out and co mplete programming while replacing the steering wheelassembly rob w pm olh for open tac case contact tcsc case multiple times and completed drive motorsoftware update programming performed system check as per customers concern steering wheel comi ng apart contacted tac case please be aware if a dea ler receives a replacement super cruise steering wheel part number onceinstalled they will need to contact tcsc and request this below applies to and order and replaced steering wheel contacted tcsc many times and also get assistance from fse bill m to co mpleted programming per tcsc programmed drive motor controlmodule wcc fdyz prog set up wcc syy after programming co mpleted performed a drive cycle and check steeringwheel operation op erating normally at this time mileage in mileage out char ge vehicle soon,"replace, inspect","engine, steering_wheel"
3HCFDFEL3SH241701,13021,STEERING WHEEL REPLACEMENT,CUSTOMER STATES THE LETTERING AND FINISH ON THE STEERING WHEEL IS COMING OFF. PLANT: SIL,1/4/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CCF,SIL,MX,WESTWOOD WHEELS,MILWAUKEE,13-47099/113361,SUMMIT DRIVE AUTO,SLINGER,WI,1,UNKNOWN,10,15500,0,0-0890,T06.2375,US,13,FE9,FTB,130,FREG,445.28,445.28,63.18,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",UNKNOWN,N2210821MFYX0482,UNKNOWN,S1210822CKJX0291,2808892288,6,1,Y,CF10543,UNKNOWN,10,0,1,steering wheel replacement,replace,steering_wheel
1HRFFHEL1RZ181474,13021,REPLACED STEERING MESSAGE NO LONGER DISPLAYED,C/S: CUSTOMER STATES THE SERVICE DRIVER ASSIST SYSTEM MESSAGE IS ON. A DVISE,1/5/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CGF,FTW,US,LUXEAUTO SALES,KELLOGG,11-47556/116725,HORIZON MOTORS,LIBERTY LAKE,WA,1,UNKNOWN,0,8,0,0-0621,T06.2375,US,48,NE1,FUC,130,FREG,1439.65,1439.65,136,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",UNKNOWN,N2212994MGPX0790,UNKNOWN,R2212982CKJX0282,2808901882,8,1,N,TF10543,UNKNOWN,10,0,1,replaced steering message no longer displayed,replace,steering_wheel
3HRFFHED7RH167541,13026,REMOVE AND REPLACE STEERING WHEEL WIRE HARNESS,HORN AND STEERING WHEEL SWITCHES ARE INOPERABLE,1/5/2024,HARNESS ASM-STRG WHL HORN SW WRG,STEERING WHEEL HORN SWITCH WIRING HARNESS REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CGF,SIL,MX,HORIZON MOTORS,OMAHA,13-05637/165732,PRESTIGE WHEELS,COLUMBUS,NE,1,UNKNOWN,0,14,0,0-0890,T05.3330,US,48,FE9,FTB,20,FREG,216.75,216.75,139.84,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",UNKNOWN,A2212084MGSX0089,UNKNOWN,S2212992CKJX2842,2809498122,6,1,N,TF10543,UNKNOWN,16,0,1,remove and replace steering wheel wire harness,replace,steering_wheel
1HRFFHEL4RZ149960,13071,"ACCESSED, REMOVED AND REPLACED THE DRIVERS ASSISTANCE SYSTEMS MODULE. ACCESSED THE DIAGNOSTICPORTANDREPROGRAMMEDTHESYSTEMCALIBRATION USING THE MDI-2 WITH A WARRANTY CLAIM PROGRAMMING CODE OF FDYZ197418154. ROAD TESTEDTHEVEHICLETOVERIFYREPAIRS. THESYSTEM IS NOW OPERATING AS DESIGNED.",CUST. STATES DRIVERS ASSIST LIGHT COMES ON DASH -SUPER CRUISE/LANE DEPARTURE WORKS INTERMITTENTLY-WAS DIAG. FORASTEERINGWHEELMODULE.,1/5/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CGF,FTW,US,APEX VEHICLE SALES,SMITHTOWN,13-02278/273131,URBANEDGE AUTO,BAY SHORE,NY,1,UNKNOWN,2,856,0,0-0621,T06.2375,US,48,NE1,FUC,130,FREG,1488.94,1488.94,150.03,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",UNKNOWN,N2212914MGPX0299,UNKNOWN,R2212922CKJX0928,2809208122,24,1,Y,TF10543,UNKNOWN,10,0,1,accessed removed and replaced the drivers assistance systems module accessed the diagnosticportandreprogrammedthesystemcalibration using the mdi with a warranty claim programming code of fdyz road testedthevehicletoverifyrepairs thesystem is now operating as designed,replace,None
3HCFDFED4SH352945,13021,REPLACED STEERING WHEEL,SPECIAL ORDER PART [ STEERING WHEEL HEATED STEERING WHEEL NOT WORKING ],1/5/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CCF,SIL,MX,DIAMOND DRIVE,SAINT CLAIRSVILLE,13-13858/113450,DIAMOND AUTO TRADERS,SAINT CLAIRSVILLE,OH,1,UNKNOWN,3,4065,0,0-0310,T05.3386,US,13,NE1,FUC,130,FREG,427.08,427.08,57.61,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",UNKNOWN,A2212881MF1X2422,UNKNOWN,S1212982CKJX2188,2808882287,4,1,N,CF10543,UNKNOWN,15,0,1,replaced steering wheel,replace,steering_wheel
1HRF9CED6NZ221061,13021,TECHNICIAN FOUND THE STEERING COLUMN PLASTIC TRIM WAS NOT ALIGNED PROPERLY ADJUSTED TRIM AND FOUND THE CUSTOMER CONCERN IS NOLONGER PRESENT,CUSTOMER STATES STEERING WHEEL IS MAKING A RUBBING NOISE WHEN TURING THE WHEEL LEFT AND RIGHT,1/8/2024,WHEEL ASM-STRG *JET BLACK,STEERING WHEEL SPOKE COVER REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CGF,FTW,US,SUMMIT AUTO TRADERS,MADISON,13-28387/166196,LEGACY CAR SALES,MADISON,OH,1,UNKNOWN,21,31611,0,0-0313,T05.3386,US,48,FE9,FTB,50,FREG,27.69,27.69,27.69,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MQB,"BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",UNKNOWN,T1220882JW9X2294,UNKNOWN,R2220422XKJX0272,2808998129,2,1,N,TF18543,UNKNOWN,16,0,1,technician found the steering column plastic trim was not aligned properly adjusted trim and found the customer concern is nolonger present,None,steering_wheel
1HRFFHEL8RZ133325,13074,STEERING WHEEL REPLACEMENT,CUSTOMER STATES THAT THEY ARE GETTING A MESSAGE ON THE DASH SAYING DRIVER ASSIST MESSAGE. CHECK AND ADVISE,1/9/2024,WHEEL ASM-STRG *VERY DARK AT,STEERING WHEEL REPLACEMENT,FULL-SIZE TRUCKS,CREW CAB,T1CGF,FTW,US,TRUEVALUE MOTORS,BELLEVILLE,11-40119/299131,PRIMEDRIVE MOTORS,BELLEVILLE,IL,1,UNKNOWN,4,8304,0,0-0621,T06.2375,US,48,FE9,FTB,130,FREG,1147.09,1147.09,146.06,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",UNKNOWN,N2212294MGPX0128,UNKNOWN,R2212112CKJX2084,2821988724,4,1,Y,TF10543,UNKNOWN,10,1,1,steering wheel replacement,replace,steering_wheel
